location,spot_id,lat,lon
Newquay - Fistral North,1,50.4184,-5.0997
Porthtowan,2,50.2891,-5.2461
Gwithian,3,50.2235,-5.399
Sennen,4,50.0802,-5.6976
Constantine,5,50.5333,-5.0221
Bude - Crooklets,6,50.8358,-4.5548
Croyde Beach,7,51.1302,-4.2435
Praa Sands,8,50.103,-5.391
Whitsand Bay,9,50.3387,-4.2434
Bantham,10,50.2787,-3.8885
Kimmeridge,11,50.6044,-2.1334
Bournemouth,12,50.7149,-1.873
Isle of Wight - Compton ,13,50.6611,-1.4765
East Wittering,14,50.7648,-0.8762
Brighton - West Pier,15,50.8201,-0.1499
Birling Gap,16,50.74,0.2
Joss Bay,18,51.3799,1.4471
Lowestoft,19,52.4672,1.7486
Cromer,20,52.9327,1.3017
Withernsea,21,53.7316,0.0351
Scarborough - South Bay,22,54.2791,-0.3949
Whitby,23,54.4917,-0.6164
Saltburn Beach,24,54.5879,-0.9719
Sunderland,25,54.9121,-1.3541
Tynemouth - Longsands,26,55.0267,-1.4234
Hells Mouth (Porth Neigwl),27,52.8074,-4.5508
Pease Bay,28,55.9319,-2.3328
Porthcawl - Coney Beach,29,51.4766,-3.696
Aberavon,30,51.5853,-3.8127
Langland Bay,31,51.5661,-4.0101
Llangennith,32,51.5961,-4.3057
Tenby South Beach,33,51.6661,-4.6997
Freshwater West,34,51.6499,-5.0636
Newgale,35,51.84,-5.12
Barmouth,36,52.75,-4.1
Anglesey (Ynys Môn),37,53.2204,-4.5151
St Andrews East,38,56.3386,-2.7786
Lunan Bay,39,56.6518,-2.5017
Stonehaven ,40,56.9659,-2.2032
Aberdeen - Beach,41,57.1525,-2.0768
Peterhead (Sandford Bay) ,42,57.4856,-1.7925
Fraserburgh,43,57.6798,-1.9807
Banff - Beach,44,57.6661,-2.5181
Lossiemouth,45,57.7188,-3.2777
Sinclairs Bay - Beach,46,58.5027,-3.1305
Thurso East,47,58.6026,-3.5097
Islay (Machir Bay),48,55.7791,-6.4621
Isle of Lewis,49,58.3067,-6.7571
Bundoran - The Peak,50,54.4813,-8.287
Strandhill,51,54.27,-8.6128
Lahinch - Beach,52,52.9328,-9.3527
Inch Reefs,53,52.1402,-10.0009
Long Strand (Castlefreke),54,51.5562,-8.969
Tramore - Strand,55,52.1569,-7.1447
Portrush,56,55.1996,-6.6615
Naples,57,26.1397,-81.8073
Venice Beach,58,27.1,-82.46
North Malin,59,55.3686,-7.3059
Clearwater,60,27.9738,-82.8336
Hossegor (La Graviere),61,43.6663,-1.4437
Biarritz Grande Plage,62,43.4859,-1.5596
Mimizan-Plage,63,44.2161,-1.2997
Vieux Boucau,64,43.7934,-1.4172
Biscarrosse-Plage,65,44.4461,-1.258
Lacanau,66,45.0023,-1.2049
Soulac,67,45.5204,-1.1268
Chassiron,68,46.0479,-1.4186
L'Aubraie,69,46.5138,-1.8224
Les Donnants,70,47.3258,-3.2409
Guidel (Les Kaolins),71,47.7237,-3.4931
La Torche ,72,47.8408,-4.3512
Baie des Trépassés (Lescoff),73,48.0465,-4.71
Blancs-Sablons,74,48.3704,-4.7663
Lampaul Ploudalmezeau,75,48.57,-4.65
Le Dossen ,76,48.6984,-4.0683
Trestraou,77,48.818,-3.4508
Plage du Sillon (St Malo),78,48.6623,-2.0037
Le Rozel,79,49.4812,-1.8474
Etretat,80,49.7075,0.1984
Cape Town,81,-33.9037,18.472
Sutton on Sea,82,53.32,0.28
Skegness,83,53.1467,0.349
Borth / Ynyslas ,84,52.4999,-4.0563
Machrihanish,85,55.4293,-5.7246
Treasure Island,86,27.7674,-82.7739
Durban,87,-29.8395,31.0391
Jeffreys Bay (J-Bay),88,-34.029,24.9328
Port Elizabeth,89,-33.9729,25.6499
Piha,90,-36.9552,174.464
Raglan,91,-37.8224,174.801
Whangamata,92,-37.2,175.87
Mount Maunganui,93,-37.64,176.19
Durness (Balnakeil Bay),94,58.5785,-4.7679
Coldingham Bay,95,55.8923,-2.1326
Skail Bay Right,96,59.0554,-3.3426
Birsay Bay,97,59.14,-3.32
Eoropie,98,58.4981,-6.2764
Filey,99,54.2074,-0.2825
Fisk Helliar,100,59.1413,-3.172
Bu Sands,101,58.86,-2.89
Mangersta,102,58.1643,-7.0914
Scarasta,103,57.8265,-7.0625
New Plymouth,104,-39.0555,174.074
Stent Road,105,-39.2211,173.775
Opunake,106,-39.461,173.853
Lyall Bay,107,-41.3304,174.7983
Ohope Beach,108,-37.97,177.07
Papamoa Beach,109,-37.73,176.3
Gizzy Pipe (Gisborne),110,-38.6741,177.998
Rolling Stones (Mahia Peninsula),111,-39.075,177.819
Diners Beach,112,-39.139,177.959
Mangamaunu,113,-42.304,173.751
New Brighton Beach,114,-43.5053,172.735
St Clair (Dunedin),115,-45.9134,170.494
Greymouth,116,-42.47,171.2
Westport,117,-41.7419,171.5643
90 Mile Beach,118,-34.8365,173.025
Port Bharrapol (Tiree),119,56.468,-6.9752
Jersey,120,49.2044,-2.2245
El Palmar,121,36.23,-6.0716
Forestry,122,-36.1653,174.652
Owaka Area,123,-46.5082,169.699
Papatowai,124,-46.5863,169.47
Riverton Rocks,125,-46.372,168.031
Pors Ar Villec (Locquirec),126,48.6977,-3.6499
Praia da Rocha,127,37.1114,-8.5306
Sagres (Tonel),128,37.0054,-8.9493
Sines,129,37.97,-8.88
Carrapateira,130,37.1659,-8.9048
Taghazout,131,30.5423,-9.7066
Napier,132,-39.4995,176.92
Cotillo,133,28.6754,-14.0104
Majanicho,134,28.7484,-13.9366
Falmouth,135,50.1408,-5.0693
Whitesands Bay,136,51.8964,-5.298
Lyme Regis,137,50.7194,-2.9399
Santander (El Sardinero),138,43.4773,-3.7847
Teignmouth,139,50.55,-3.49
Waddeneilanden,140,53.2241,4.7461
Oostende,141,51.231,2.9012
